First Name,Last Name,Gender,Date of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Year of Joining,DOW of Joining,Age in Company (Years),Initial Salary,Salary increase % ,State,Region
Elda,Champagne,F,5/21/1983,34.21,50,11/8/2016,2016,Tuesday,0.72,146140,4%,MN,Midwest
Robert,Guinn,M,6/14/1972,45.15,67,1/8/1997,1997,Wednesday,20.56,86539,12%,IN,Midwest
Humberto,Sauer,M,4/11/1989,28.32,66,11/12/2012,2012,Monday,4.71,116308,28%,MI,Midwest
Anastasia,Childers,F,12/20/1988,28.62,42,2/26/2011,2011,Saturday,6.42,184099,24%,WI,Midwest
Collene,Kidd,F,2/25/1965,52.45,50,8/14/1993,1993,Saturday,23.97,59428,7%,CA,West
Harris,Beavers,M,9/14/1970,46.9,87,1/29/1999,1999,Friday,18.51,147337,14%,FL,South
Kathe,John,F,6/15/1992,25.13,45,12/28/2013,2013,Saturday,3.58,91921,28%,OH,Midwest
Ashly,Stanton,F,12/13/1992,24.64,52,2/10/2014,2014,Monday,3.46,143236,17%,IL,Midwest
Geraldo,Easley,M,3/28/1974,43.36,82,5/6/2002,2002,Monday,15.24,84087,1%,TX,South
Leigh,Fite,M,7/16/1967,50.07,81,6/3/2004,2004,Thursday,13.16,87149,27%,IL,Midwest
Devon,Knox,F,3/24/1979,38.37,50,9/3/2005,2005,Saturday,11.91,111117,14%,VA,South
Yevette,Mullis,F,4/8/1972,45.33,54,10/14/1995,1995,Saturday,21.8,129752,22%,OH,Midwest
Irena,Dang,F,1/22/1972,45.55,49,2/24/2009,2009,Tuesday,8.43,192236,10%,VA,South
Cory,Hayden,M,7/20/1966,51.06,66,3/31/1992,1992,Tuesday,25.34,79619,24%,WI,Midwest
Dolores,Begley,F,12/16/1981,35.64,58,3/21/2016,2016,Monday,1.35,182967,13%,CA,West
Benjamin,Doss,M,6/1/1984,33.18,68,3/31/2010,2010,Wednesday,7.33,126429,23%,GA,South
Theron,Farmer,M,5/16/1969,48.23,80,7/8/2015,2015,Wednesday,2.06,85523,17%,IL,Midwest
Hilton,Mcgehee,M,7/26/1986,31.03,65,3/18/2009,2009,Wednesday,8.37,149794,18%,MI,Midwest
Sixta,Beaudoin,F,3/4/1975,42.43,45,2/29/2004,2004,Sunday,13.42,122324,1%,VA,South
Sade,Shay,F,12/6/1994,22.66,42,1/20/2016,2016,Wednesday,1.52,58708,4%,OK,South
Shemika,Beckman,F,10/18/1967,49.81,46,2/7/2003,2003,Friday,14.48,117633,28%,MO,Midwest
Winfred,Gonzales,M,3/10/1964,53.42,76,1/18/2016,2016,Monday,1.53,126630,2%,PA,Northeast
Rogelio,Woodall,M,12/19/1972,44.64,87,12/22/1996,1996,Sunday,20.61,172325,5%,KS,Midwest
Damion,Rafferty,M,10/27/1974,42.78,60,3/20/2015,2015,Friday,2.36,167184,10%,IL,Midwest
Dannie,Catron,M,4/20/1979,38.3,86,10/13/2016,2016,Thursday,0.79,176777,1%,PA,Northeast
Stephan,Titus,M,3/7/1968,49.42,61,10/17/2009,2009,Saturday,7.78,115488,29%,IN,Midwest
Dorian,Sage,M,7/27/1970,47.04,59,7/14/1992,1992,Tuesday,25.05,66883,1%,KY,South
Jake,Espinal,M,1/19/1959,58.56,71,9/25/2003,2003,Thursday,13.85,140108,19%,CA,West
Claudio,Heck,M,9/28/1967,49.87,74,5/14/2005,2005,Saturday,12.21,48198,22%,PA,Northeast
Marcel,Trotter,M,2/1/1985,32.51,78,4/25/2006,2006,Tuesday,11.27,50635,14%,SD,Midwest
Dillon,Dominguez,M,10/22/1963,53.8,87,1/29/2015,2015,Thursday,2.5,53198,3%,MN,Midwest
Sammy,Dewitt,M,1/24/1988,29.53,89,12/5/2014,2014,Friday,2.65,45889,21%,WA,West
Sterling,Serna,M,4/15/1985,32.31,81,11/17/2015,2015,Tuesday,1.7,136675,26%,NY,Northeast
Ivonne,Manning,F,9/13/1977,39.9,50,6/29/2002,2002,Saturday,15.09,87746,14%,ND,Midwest
Clair,Harwell,M,8/11/1968,48.99,87,4/14/1991,1991,Sunday,26.31,194249,8%,NY,Northeast
Jenni,Goolsby,F,5/13/1971,46.24,57,10/10/2005,2005,Monday,11.81,185593,30%,VA,South
Tayna,Poston,F,1/15/1958,59.57,58,1/30/2016,2016,Saturday,1.49,149011,23%,CA,West
Vern,Mackenzie,M,7/3/1982,35.09,73,12/31/2016,2016,Saturday,0.57,76401,15%,VA,South
Harrison,Hawk,M,7/19/1962,55.06,67,6/26/2006,2006,Monday,11.1,191292,4%,TX,South
Preston,Tribble,M,11/4/1979,37.76,76,3/20/2004,2004,Saturday,13.36,185438,22%,ID,West
Aleen,Araujo,F,5/10/1978,39.24,58,11/7/2004,2004,Sunday,12.73,56546,22%,AL,South
Brent,Carrillo,M,4/2/1973,44.35,52,3/30/2013,2013,Saturday,4.33,192586,9%,FL,South
Adalberto,Tate,M,3/31/1982,35.35,85,8/15/2009,2009,Saturday,7.96,46371,24%,OH,Midwest
Rafael,Weeks,M,6/7/1992,25.16,56,10/31/2016,2016,Monday,0.74,49301,26%,NY,Northeast
Aurea,Pullen,F,7/22/1973,44.05,55,10/25/2016,2016,Tuesday,0.76,137648,22%,FL,South
Ramiro,Holguin,M,6/1/1958,59.2,62,11/18/2002,2002,Monday,14.7,171193,18%,OH,Midwest
Celine,Lumpkin,F,12/31/1986,30.59,59,1/22/2008,2008,Tuesday,9.52,124808,14%,OH,Midwest
Bryant,Naylor,M,7/19/1993,24.04,63,10/21/2014,2014,Tuesday,2.77,131219,12%,ME,Northeast
Oswaldo,Winchester,M,4/8/1959,58.35,81,9/11/1989,1989,Monday,27.9,100218,12%,AR,South
Kacy,Crandall,F,9/8/1961,55.92,60,12/25/1983,1983,Sunday,33.61,178521,25%,GA,South
Brock,Hutcherson,M,3/6/1995,22.41,74,10/16/2016,2016,Sunday,0.78,137705,1%,SC,South
Ramiro,Conover,M,7/26/1992,25.02,69,9/16/2016,2016,Friday,0.86,187877,2%,ME,Northeast
Myron,Marble,M,12/13/1980,36.65,73,6/12/2004,2004,Saturday,13.13,164189,14%,LA,South
Freeman,Kern,M,7/11/1963,54.08,89,5/10/1987,1987,Sunday,30.24,124776,18%,CO,West
Mathew,Whitfield,M,10/9/1986,30.82,50,8/25/2015,2015,Tuesday,1.93,84449,3%,OK,South
Alexander,Goad,M,5/21/1965,52.22,52,7/24/1994,1994,Sunday,23.03,71123,2%,MO,Midwest
Renee,Beverly,F,7/1/1977,40.1,60,7/18/2015,2015,Saturday,2.03,104020,2%,NE,Midwest
Tommie,Weller,M,8/9/1959,58.01,64,7/15/2002,2002,Monday,15.05,136568,30%,GA,South
Michale,Colson,M,11/18/1961,55.73,76,8/20/2002,2002,Tuesday,14.95,115204,22%,CA,West
Denisha,Fitch,F,10/21/1990,26.79,57,4/28/2017,2017,Friday,0.25,140459,8%,TX,South
Napoleon,Kelsey,M,8/7/1995,21.99,50,12/8/2016,2016,Thursday,0.64,91209,19%,FL,South
Tonya,Wilson,F,4/27/1980,37.28,51,1/7/2013,2013,Monday,4.56,109416,7%,PA,Northeast
Clement,Hidalgo,M,3/9/1960,57.42,57,2/11/1988,1988,Thursday,29.48,113419,11%,MA,Northeast
Charles,Quintero,F,3/27/1958,59.38,57,12/22/2012,2012,Saturday,4.6,115542,9%,MN,Midwest
Chastity,Pineda,F,5/9/1975,42.25,40,6/19/2010,2010,Saturday,7.11,136780,26%,WI,Midwest
Verna,Michaud,F,5/4/1993,24.25,42,10/20/2015,2015,Tuesday,1.77,100243,25%,PA,Northeast
Alfred,Beamon,M,7/7/1963,54.1,73,3/22/2003,2003,Saturday,14.36,118321,0%,MT,West
Michal,Maurer,F,12/8/1976,40.66,45,5/1/2000,2000,Monday,17.25,48687,11%,NC,South
Wenona,Carmichael,F,8/31/1964,52.94,51,8/31/2005,2005,Wednesday,11.92,53789,30%,IN,Midwest
Allan,Bernhardt,M,1/24/1962,55.55,52,1/2/1987,1987,Friday,30.59,119879,18%,DC,South
Nam,Schmidt,F,4/8/1993,24.32,60,1/27/2016,2016,Wednesday,1.5,147420,14%,IN,Midwest
Yolande,Piper,F,10/9/1966,50.84,54,4/14/1998,1998,Tuesday,19.3,57365,0%,IN,Midwest
Whitney,Shipman,M,10/26/1982,34.78,68,5/18/2007,2007,Friday,10.2,99825,10%,IA,Midwest
Terence,Ferro,M,1/18/1982,35.55,66,4/23/2015,2015,Thursday,2.27,125561,4%,WI,Midwest
Alberto,Riley,M,1/13/1974,43.57,85,12/17/2004,2004,Friday,12.62,59008,4%,IL,Midwest
Jacqueline,Burk,F,6/28/1989,28.1,57,9/23/2012,2012,Sunday,4.85,96703,1%,NY,Northeast
Clemente,Gould,M,12/31/1961,55.61,81,10/2/1992,1992,Friday,24.84,59506,1%,MS,South
Chang,Roden,F,9/7/1988,28.91,51,8/6/2010,2010,Friday,6.98,53430,21%,KS,Midwest
Marvin,Nickel,M,11/25/1986,30.69,87,10/6/2012,2012,Saturday,4.81,94656,27%,KY,South
Eldora,Tribble,F,5/29/1995,22.18,54,10/17/2016,2016,Monday,0.78,91984,4%,VA,South
Azzie,Layman,F,9/6/1961,55.93,56,3/26/2004,2004,Friday,13.35,126984,2%,OR,West
Titus,Latimer,M,7/24/1971,46.04,57,6/1/1998,1998,Monday,19.17,51037,25%,FL,South
Shantell,Long,F,2/26/1977,40.44,41,11/3/2006,2006,Friday,10.74,181720,1%,FL,South
Cameron,Irvin,F,10/18/1959,57.82,50,3/18/2011,2011,Friday,6.37,111147,6%,PA,Northeast
Virgilio,Messer,M,3/25/1993,24.36,55,3/17/2017,2017,Friday,0.36,68439,15%,MS,South
Eboni,Lujan,F,12/15/1993,23.63,42,2/11/2017,2017,Saturday,0.46,109836,27%,IN,Midwest
Ward,Gauthier,M,8/22/1968,48.96,71,10/29/2015,2015,Thursday,1.75,75831,30%,PA,Northeast
Yasuko,Gandy,F,5/6/1980,37.25,57,8/7/2013,2013,Wednesday,3.98,97289,8%,IA,Midwest
Agustin,Eden,M,6/5/1961,56.18,73,3/1/2015,2015,Sunday,2.41,184585,1%,NY,Northeast
Sunny,Mccreary,F,6/21/1978,39.13,50,10/7/2005,2005,Friday,11.81,57688,10%,GA,South
Janyce,Hollenbeck,F,4/30/1966,51.28,55,1/20/1990,1990,Saturday,27.54,183408,18%,CA,West
Bernardo,Caron,M,11/1/1984,32.76,65,1/2/2008,2008,Wednesday,9.58,121161,18%,PA,Northeast
Leon,Keeling,M,10/13/1995,21.81,57,12/25/2016,2016,Sunday,0.59,73165,24%,OK,South
Walker,Foley,M,5/14/1960,57.24,78,8/24/2002,2002,Saturday,14.94,71361,15%,GA,South
Rolando,Bickford,M,10/16/1975,41.81,64,2/12/2017,2017,Sunday,0.45,184147,11%,CA,West
Glenn,Pace,M,6/22/1984,33.12,56,8/10/2014,2014,Sunday,2.97,193671,27%,VA,South
Tandy,Binkley,F,4/29/1963,54.28,46,8/30/2005,2005,Tuesday,11.92,151456,6%,NC,South
Irving,Toler,M,2/20/1990,27.45,64,2/22/2012,2012,Wednesday,5.43,109029,12%,VA,South
Elin,Mayes,F,9/23/1983,33.87,47,4/20/2006,2006,Thursday,11.28,93526,11%,NE,Midwest
William,Katz,M,6/17/1976,41.14,67,1/18/2001,2001,Thursday,16.53,118383,3%,CA,West
Silvana,Leclair,F,10/12/1994,22.81,50,8/22/2016,2016,Monday,0.93,178763,15%,TX,South
Kirby,Hendrick,M,2/8/1958,59.51,65,2/19/1979,1979,Monday,38.46,182772,5%,OR,West
Rubin,Newman,M,6/10/1977,40.16,88,7/4/1998,1998,Saturday,19.08,85306,18%,VT,Northeast
Lee,Roderick,M,6/25/1963,54.13,78,4/28/2009,2009,Tuesday,8.25,184020,0%,VT,Northeast
Jesus,Maupin,M,5/23/1958,59.22,72,3/15/1996,1996,Friday,21.38,58924,29%,KS,Midwest
Riley,Yocum,M,9/12/1964,52.91,84,12/18/2013,2013,Wednesday,3.61,191075,9%,TX,South
Nova,Bouchard,F,5/4/1964,53.27,50,1/26/2003,2003,Sunday,14.51,194028,27%,OR,West
Shandra,Layman,F,3/10/1973,44.41,54,11/16/2013,2013,Saturday,3.7,136956,15%,SC,South
Jacquie,Burkett,F,2/8/1986,31.49,51,1/11/2016,2016,Monday,1.55,42810,28%,KS,Midwest
Nelle,Kenney,F,2/25/1989,28.44,43,12/5/2016,2016,Monday,0.64,111332,14%,WV,South
Rich,Whitmore,M,5/30/1991,26.18,81,9/26/2015,2015,Saturday,1.84,57513,14%,TX,South
Antoine,Hendrick,M,10/5/1960,56.85,69,3/1/1996,1996,Friday,21.42,113726,22%,TX,South
Blaine,Judkins,M,5/14/1986,31.23,84,2/5/2010,2010,Friday,7.48,170820,19%,KS,Midwest
Raymundo,Poirier,M,12/14/1986,30.64,88,1/2/2008,2008,Wednesday,9.58,72342,14%,CA,West
Blair,Tapia,M,10/30/1969,47.78,78,7/14/2007,2007,Saturday,10.05,139366,10%,WA,West
Charley,Cabrera,M,4/21/1984,33.29,60,12/9/2010,2010,Thursday,6.64,173520,24%,CA,West
Heath,Hartley,M,5/27/1975,42.2,88,4/15/2016,2016,Friday,1.28,75385,18%,TX,South
Zack,Singh,M,4/12/1987,30.32,53,3/10/2012,2012,Saturday,5.39,146810,10%,CA,West
Zaida,Odum,F,4/19/1967,50.31,48,2/9/2011,2011,Wednesday,6.47,111471,17%,MS,South
Porfirio,Slone,M,6/22/1990,27.12,72,4/2/2015,2015,Thursday,2.32,190682,17%,SC,South
Ryan,Morrell,M,10/20/1979,37.8,77,2/14/2006,2006,Tuesday,11.46,103469,1%,IA,Midwest
Luther,Hannan,M,7/19/1995,22.04,79,10/12/2016,2016,Wednesday,0.79,183847,30%,AL,South
Deon,Elizondo,M,8/25/1993,23.94,68,2/18/2017,2017,Saturday,0.44,156494,30%,VT,Northeast
Dana,Brinson,F,11/13/1989,27.72,42,9/2/2014,2014,Tuesday,2.9,107214,22%,KS,Midwest
Manual,Dupuis,M,1/15/1978,39.56,55,6/9/2009,2009,Tuesday,8.14,79066,22%,KY,South
Kenton,Franz,M,12/12/1973,43.65,58,9/26/2014,2014,Friday,2.84,161470,20%,OK,South
Julian,Bull,M,5/20/1981,36.21,67,7/8/2010,2010,Thursday,7.06,70382,29%,VA,South
Deon,Heath,M,8/5/1959,58.02,87,6/20/2001,2001,Wednesday,16.12,65276,3%,NC,South
Angela,Landers,F,12/12/1958,58.67,53,1/17/1981,1981,Saturday,36.55,185702,29%,IN,Midwest
Heidi,Reiter,F,11/3/1977,39.76,43,5/11/2009,2009,Monday,8.22,99103,2%,TX,South
Gayle,Green,M,1/16/1961,56.57,62,12/17/2016,2016,Saturday,0.61,164865,19%,KY,South
Janey,Swift,F,9/4/1979,37.92,45,9/29/2016,2016,Thursday,0.83,99681,9%,FL,South
Emilio,Courtney,M,3/2/1980,37.43,78,1/19/2014,2014,Sunday,3.52,128932,23%,TX,South
Brinda,Lowell,F,5/16/1980,37.22,50,6/15/2015,2015,Monday,2.12,170078,19%,WI,Midwest
Alexander,Lange,M,10/14/1963,53.82,61,5/28/1994,1994,Saturday,23.18,129950,11%,IN,Midwest
Frank,Reinhardt,M,9/20/1979,37.88,76,8/5/2011,2011,Friday,5.98,190401,14%,IA,Midwest
Monty,Pryor,M,10/8/1992,24.82,57,2/12/2014,2014,Wednesday,3.46,98844,17%,CO,West
Brinda,Fortune,F,12/2/1969,47.68,47,1/10/1996,1996,Wednesday,21.56,54128,19%,PA,Northeast
Benny,Couture,M,11/27/1962,54.7,82,9/12/1984,1984,Wednesday,32.9,176431,6%,MS,South
Monty,Vogel,M,3/31/1992,25.34,82,1/12/2016,2016,Tuesday,1.54,195061,11%,IL,Midwest
Lester,Coughlin,F,9/2/1977,39.93,43,3/16/2016,2016,Wednesday,1.37,172559,25%,VA,South
Shellie,Herring,F,7/24/1969,48.04,41,5/23/1997,1997,Friday,20.19,89898,11%,NY,Northeast
Kerrie,Chiu,F,4/16/1971,46.32,51,7/10/2009,2009,Friday,8.05,138378,29%,IN,Midwest
Gerard,Dickens,M,4/24/1977,40.29,80,5/19/2008,2008,Monday,9.2,141445,23%,CO,West
Parker,Tuck,M,2/8/1965,52.5,87,6/10/2000,2000,Saturday,17.14,76726,1%,NM,West
Riva,Hannan,F,8/19/1978,38.97,46,6/20/2010,2010,Sunday,7.11,67436,20%,NY,Northeast
Steve,Mercier,M,12/11/1982,34.65,68,1/18/2007,2007,Thursday,10.53,55645,5%,NC,South
Fleta,Sutton,F,12/1/1958,58.7,54,1/28/2015,2015,Wednesday,2.5,79993,28%,KY,South
Chung,Corbett,M,3/9/1976,41.41,50,6/27/2008,2008,Friday,9.09,110027,6%,WA,West
Frieda,Forster,F,3/16/1992,25.38,58,9/26/2013,2013,Thursday,3.84,140698,12%,PA,Northeast
Sirena,Fogle,F,6/25/1992,25.11,55,11/5/2015,2015,Thursday,1.73,156369,20%,MI,Midwest
Alisha,Bard,F,7/15/1966,51.07,44,10/1/1990,1990,Monday,26.84,136301,17%,WA,West
Deedee,Mercado,F,5/31/1964,53.19,46,2/25/1995,1995,Saturday,22.44,185675,1%,CA,West
Cecile,Driver,F,8/8/1981,35.99,40,5/26/2010,2010,Wednesday,7.18,180045,24%,OH,Midwest
Roosevelt,Nava,M,8/22/1975,41.96,82,9/24/1998,1998,Thursday,18.85,79463,2%,NC,South
Floyd,Bollinger,M,9/1/1976,40.93,51,9/10/2004,2004,Friday,12.89,123620,25%,MS,South
Lacey,Jones,F,2/3/1991,26.5,57,9/24/2014,2014,Wednesday,2.84,193913,30%,FL,South
Larry,Dial,M,10/30/1991,25.76,51,10/7/2016,2016,Friday,0.81,124743,3%,MI,Midwest
Joel,Holiday,M,9/16/1986,30.88,65,10/27/2008,2008,Monday,8.76,57125,25%,WY,West
Camilla,Malloy,F,4/17/1971,46.31,43,5/31/2006,2006,Wednesday,11.17,155359,18%,OK,South
Tyron,Lash,M,12/18/1971,45.64,88,11/18/1994,1994,Friday,22.71,84517,3%,PA,Northeast
Joey,Wren,M,3/10/1966,51.42,73,1/4/2015,2015,Sunday,2.56,55467,24%,MA,Northeast
Hubert,Ferrer,M,2/28/1983,34.44,65,6/7/2009,2009,Sunday,8.15,57335,3%,AR,South
Jason,Yarbrough,M,4/29/1996,21.26,83,6/29/2017,2017,Thursday,0.08,177581,4%,MS,South
Raymond,Homan,M,7/20/1969,48.05,56,7/31/2011,2011,Sunday,6,149296,11%,MN,Midwest
Carmen,Cazares,M,8/28/1960,56.95,70,6/15/2016,2016,Wednesday,1.12,146798,10%,CA,West
Daisy,Noland,F,1/15/1962,55.57,40,1/16/2006,2006,Monday,11.54,86352,15%,OK,South
Archie,Caban,M,4/1/1986,31.35,72,3/16/2010,2010,Tuesday,7.37,181508,30%,CA,West
Bryan,Labbe,M,10/10/1978,38.82,63,3/10/2008,2008,Monday,9.39,64584,7%,OR,West
Shae,Dowdell,F,6/23/1968,49.13,60,9/28/1989,1989,Thursday,27.85,179721,3%,IA,Midwest
Bertha,Meador,F,6/23/1979,38.12,55,5/18/2002,2002,Saturday,15.21,51216,13%,CA,West
Rick,Miles,M,6/16/1978,39.14,53,2/17/2017,2017,Friday,0.44,136017,23%,MD,South
Lon,Carmona,M,5/30/1985,32.18,70,11/12/2014,2014,Wednesday,2.71,53753,9%,MA,Northeast
Linnie,Christiansen,F,8/18/1978,38.97,46,7/27/2006,2006,Thursday,11.01,54128,23%,WV,South
Terica,Finney,F,4/7/1975,42.34,43,9/5/2014,2014,Friday,2.9,142250,4%,WI,Midwest
Jae,Nowlin,M,11/6/1976,40.75,68,8/26/2016,2016,Friday,0.92,120141,27%,SC,South
Jame,Marchand,M,8/9/1985,31.99,90,4/21/2011,2011,Thursday,6.27,169702,13%,MN,Midwest
Larisa,Baines,F,4/27/1995,22.27,44,8/27/2016,2016,Saturday,0.92,181320,10%,TX,South
Delsie,Rees,F,4/8/1987,30.33,47,12/31/2012,2012,Monday,4.58,135558,26%,PA,Northeast
Janna,Spooner,F,4/28/1971,46.28,58,11/23/2004,2004,Tuesday,12.68,175569,24%,WI,Midwest
Harvey,Novotny,M,5/9/1966,51.25,65,3/12/2017,2017,Sunday,0.38,97363,28%,AZ,West
Muriel,Capps,F,7/7/1979,38.08,51,8/19/2003,2003,Tuesday,13.95,156501,13%,DE,South
Emelina,Bright,F,12/28/1975,41.61,48,1/23/2009,2009,Friday,8.52,175525,1%,IN,Midwest
Nida,Christ,F,3/24/1996,21.36,58,5/19/2017,2017,Friday,0.19,199147,30%,ND,Midwest
Margareta,Knotts,F,12/26/1963,53.62,49,6/7/1989,1989,Wednesday,28.16,116199,3%,SC,South
Michelle,Watters,F,5/10/1985,32.24,48,4/11/2011,2011,Monday,6.3,191282,19%,ND,Midwest
Ferdinand,Kuhn,M,1/5/1961,56.6,82,3/7/1985,1985,Thursday,32.41,157315,7%,IL,Midwest
Muoi,Robertson,F,12/15/1993,23.63,44,1/10/2017,2017,Tuesday,0.55,195377,2%,NC,South
Yasuko,Ledford,F,9/22/1966,50.88,47,3/10/1996,1996,Sunday,21.4,182705,2%,IN,Midwest
Christopher,Montez,F,10/11/1984,32.82,44,2/3/2014,2014,Monday,3.48,186180,9%,WI,Midwest
Scott,Lassiter,M,7/15/1962,55.07,59,4/25/2016,2016,Monday,1.26,109377,24%,WY,West
Johnathon,Beltran,M,5/3/1990,27.25,84,6/30/2017,2017,Friday,0.08,88917,0%,MO,Midwest
Scarlett,Valle,F,2/21/1973,44.46,46,1/11/1995,1995,Wednesday,22.56,172905,21%,AL,South
Ta,Yarborough,F,12/5/1964,52.68,51,10/13/2000,2000,Friday,16.8,123120,12%,LA,South
Nathanial,Weldon,M,11/13/1981,35.73,74,10/13/2011,2011,Thursday,5.79,135939,2%,KS,Midwest
Jamel,Schweitzer,M,3/16/1958,59.41,53,11/11/2003,2003,Tuesday,13.72,57081,25%,PA,Northeast
Gracia,Roldan,F,9/4/1972,44.93,59,9/21/2010,2010,Tuesday,6.85,164855,25%,NY,Northeast
Sheri,Ridley,F,8/28/1986,30.94,46,2/6/2013,2013,Wednesday,4.47,177932,24%,MD,South
Heriberto,Spearman,M,12/14/1981,35.64,56,5/18/2008,2008,Sunday,9.2,79511,25%,CA,West
Ellsworth,Rhyne,M,10/26/1992,24.77,67,4/18/2017,2017,Tuesday,0.28,102342,6%,OK,South
Waldo,Breen,M,2/12/1965,52.49,90,1/27/2012,2012,Friday,5.5,121145,30%,CO,West
Isreal,Holliman,M,2/13/1970,47.48,76,9/27/2006,2006,Wednesday,10.84,72852,18%,IL,Midwest
Leana,Fowler,F,10/24/1984,32.78,46,7/22/2006,2006,Saturday,11.02,183385,26%,CA,West
Boyd,Osburn,M,7/16/1980,37.06,74,11/20/2002,2002,Wednesday,14.7,144825,27%,PA,Northeast
Les,Blocker,M,2/5/1980,37.5,75,11/8/2010,2010,Monday,6.72,91392,27%,MA,Northeast
Daren,Broadnax,M,2/16/1987,30.47,87,6/17/2013,2013,Monday,4.12,69022,2%,MD,South
Tyler,Broughton,F,2/6/1974,43.5,55,1/9/2005,2005,Sunday,12.56,194131,26%,SD,Midwest
Russel,Bostic,M,2/12/1969,48.49,75,1/4/2016,2016,Monday,1.56,154813,23%,WI,Midwest
Johnnie,Janssen,M,8/25/1979,37.95,54,1/22/2008,2008,Tuesday,9.52,134749,23%,MI,Midwest
Gaylene,Pearce,F,10/21/1968,48.8,55,6/5/1997,1997,Thursday,20.16,78992,11%,MO,Midwest
Chi,Cho,M,7/16/1992,25.05,66,6/4/2016,2016,Saturday,1.15,104103,20%,SC,South
Erich,Fullerton,M,4/17/1992,25.3,80,1/5/2015,2015,Monday,2.56,165246,15%,NM,West
Gladis,Harless,F,8/14/1994,22.97,40,7/25/2016,2016,Monday,1.01,122395,8%,TX,South
Karly,Jacob,F,12/10/1958,58.67,40,11/21/2011,2011,Monday,5.69,99217,26%,PA,Northeast
Lise,Breen,F,7/15/1966,51.07,50,2/6/1989,1989,Monday,28.49,133938,15%,MO,Midwest
Bong,Wilmoth,F,5/13/1972,45.24,49,4/23/2016,2016,Saturday,1.26,164219,14%,FL,South
Sherika,Gordon,F,4/5/1988,29.33,43,10/27/2009,2009,Tuesday,7.76,60045,8%,AR,South
Geraldo,Curry,M,7/30/1977,40.02,86,3/22/2003,2003,Saturday,14.36,42557,15%,CA,West
Shakita,Hargis,F,7/10/1959,58.09,49,1/5/1983,1983,Wednesday,34.58,115049,22%,IL,Midwest
Patrice,Hickson,F,7/11/1973,44.08,51,8/11/1997,1997,Monday,19.98,187486,18%,KY,South
Marvis,Cisneros,F,8/22/1992,24.95,52,6/23/2014,2014,Monday,3.1,130442,17%,GA,South
Sherrie,Switzer,F,7/16/1962,55.07,54,1/7/2009,2009,Wednesday,8.56,90781,19%,KS,Midwest
Wilhemina,Clay,F,7/24/1996,21.02,60,7/22/2017,2017,Saturday,0.02,192136,20%,FL,South
Rosario,Mcmaster,M,6/30/1987,30.1,90,5/25/2009,2009,Monday,8.18,130952,1%,TX,South
Ned,Adkins,M,3/24/1972,45.38,77,2/6/1997,1997,Thursday,20.48,135861,23%,AR,South
Mabel,Waite,F,10/21/1983,33.79,41,11/6/2010,2010,Saturday,6.73,127062,26%,PA,Northeast
Lucilla,Perrin,F,11/29/1966,50.7,60,9/29/2013,2013,Sunday,3.83,125676,24%,PA,Northeast
